ETFSym,HoldingSym,HoldingPercentage
HDG,CLFD,0.0001
HDG,EXTR,0.0001
HDG,DIN,0.0001
HDG,IMAX,0.0001
HDG,BLNK,0.0001
HDG,CRNC,0.0001
HDG,SPNS,0.0001
HDG,PTGX,0.0001
HDG,MBI,0.0001
HDG,TBBK,0.0001
HDG,PSN,0.0001
HDG,ECOL,0.0001
HDG,TRST,0.0001
HDG,USNA,0.0001
HDG,OSUR,0.0001
HDG,MTW,0.0001
HDG,WETF,0.0001
HDG,HBNC,0.0001
HDG,NWN,0.0001
HDG,TTEC,0.0001
HDG,MRTN,0.0001
HDG,DENN,0.0001
HDG,POLY,0.0001
HDG,INN,0.0001
HDG,RXRX,0.0001
HDG,HEES,0.0001
HDG,FMBH,0.0001
HDG,PARR,0.0001
HDG,JOE,0.0001
HDG,ACBI,0.0001
HDG,CDEV,0.0001
HDG,APTS,0.0001
HDG,BY,0.0001
HDG,LUNG,0.0001
HDG,ENDP,0.0001
HDG,CHCO,0.0001
HDG,PGTI,0.0001
HDG,OCGN,0.0001
HDG,BRP,0.0001
HDG,HSC,0.0001
HDG,HURN,0.0001
HDG,NUVB,0.0001
HDG,BGCP,0.0001
HDG,AMSWA,0.0001
HDG,BIG,0.0001
HDG,DK,0.0001
HDG,CCXI,0.0001
HDG,MGNX,0.0001
HDG,ELF,0.0001
HDG,HLIT,0.0001
HDG,INO,0.0001
HDG,SNBR,0.0001
HDG,GCO,0.0001
HDG,CSR,0.0001
HDG,EGHT,0.0001
HDG,NEX,0.0001
HDG,MBUU,0.0001
HDG,PRCH,0.0001
HDG,NAPA,0.0001
HDG,LPSN,0.0001
HDG,VREX,0.0001
HDG,SRDX,0.0001
HDG,PFC,0.0001
HDG,CDXS,0.0001
HDG,GRC,0.0001
HDG,TREE,0.0001
HDG,SCS,0.0001
HDG,GDYN,0.0001
HDG,ATGE,0.0001
HDG,CATC,0.0001
HDG,AXL,0.0001
HDG,ERII,0.0001
HDG,EVOP,0.0001
HDG,ESRT,0.0001
HDG,CCSI,0.0001
HDG,LNN,0.0001
HDG,TMST,0.0001
HDG,TBPH,0.0001
HDG,MLAB,0.0001
HDG,DRQ,0.0001
HDG,TRS,0.0001
HDG,RCUS,0.0001
HDG,RGNX,0.0001
HDG,SRNE,0.0001
HDG,OSIS,0.0001
HDG,SXI,0.0001
HDG,PLUS,0.0001
HDG,NTST,0.0001
HDG,PLMR,0.0001
HDG,BJRI,0.0001
HDG,AVNS,0.0001
HDG,SAFE,0.0001
HDG,SMP,0.0001
HDG,PRO,0.0001
HDG,TILE,0.0001
HDG,LRN,0.0001
HDG,GDEN,0.0001
HDG,KAR,0.0001
HDG,QUOT,0.0001
HDG,SLCA,0.0001
HDG,CENX,0.0001
HDG,CAL,0.0001
HDG,RPT,0.0001
HDG,CRVL,0.0001
HDG,NWLI,0.0001
HDG,CFFN,0.0001
HDG,AROC,0.0001
HDG,IRBT,0.0001
HDG,ARR,0.0001
HDG,MXCT,0.0001
HDG,CLNE,0.0001
HDG,PHR,0.0001
HDG,REAL,0.0001
HDG,CRMT,0.0001
HDG,OII,0.0001
HDG,GLNG,0.0001
HDG,CASS,0.0001
HDG,RCKT,0.0001
HDG,MNKD,0.0001
HDG,AGM,0.0001
HDG,EB,0.0001
HDG,THR,0.0001
HDG,ALEX,0.0001
HDG,MPLN,0.0001
HDG,EFR,0.0001
HDG,IMGN,0.0001
HDG,LAND,0.0001
HDG,PRLB,0.0001
HDG,SGRY,0.0001
HDG,QTRX,0.0001
HDG,MEG,0.0001
HDG,TPTX,0.0001
HDG,AVYA,0.0001
HDG,TUP,0.0001
HDG,CEIX,0.0001
